date,name,value
2014-01-01,Afghanistan,42.87
2017-01-01,Afghanistan,46.54
2020-01-01,Afghanistan,52.86
2021-01-01,Afghanistan,39.33
2012-01-01,Albania,41.85
2013-01-01,Albania,43.28
2014-01-01,Albania,41.69
2015-01-01,Albania,41.46
2016-01-01,Albania,42.85
2017-01-01,Albania,42.34
2018-01-01,Albania,42.55
2019-01-01,Albania,42.61
2011-01-01,Argentina,37.84
2012-01-01,Argentina,37.14
2013-01-01,Argentina,36.94
2014-01-01,Argentina,36.63
2017-01-01,Argentina,35.72
2018-01-01,Argentina,35.3
2019-01-01,Argentina,34.84
2020-01-01,Argentina,30.5
2021-01-01,Argentina,34.45
2013-01-01,Armenia,44.7
2014-01-01,Armenia,43.68
2015-01-01,Armenia,41.98
2016-01-01,Armenia,41.09
2017-01-01,Armenia,41.56
2018-01-01,Armenia,42.44
2019-01-01,Armenia,42.31
2020-01-01,Armenia,39.21
2011-01-01,Australia,33.13
2012-01-01,Australia,33.27
2013-01-01,Australia,33.22
2014-01-01,Australia,33.26
2015-01-01,Australia,32.98
2016-01-01,Australia,32.67
2017-01-01,Australia,32.74
2018-01-01,Australia,32.72
2019-01-01,Australia,32.53
2020-01-01,Australia,32.04
2011-01-01,Austria,31.16
2012-01-01,Austria,30.77
2013-01-01,Austria,30.45
2014-01-01,Austria,30.4
2015-01-01,Austria,29.86
2016-01-01,Austria,30.06
2017-01-01,Austria,29.77
2018-01-01,Austria,29.71
2019-01-01,Austria,30.03
2020-01-01,Austria,28.2
2021-01-01,Austria,28.48
2013-01-01,Azerbaijan,35.26
2015-01-01,Azerbaijan,35.95
2016-01-01,Azerbaijan,35.89
2017-01-01,Azerbaijan,35.64
2018-01-01,Azerbaijan,35.47
2019-01-01,Azerbaijan,36.5
2020-01-01,Azerbaijan,37.85
2021-01-01,Azerbaijan,34.25
2013-01-01,Bangladesh,47.5
2016-01-01,Bangladesh,54
2017-01-01,Bangladesh,51.46
2016-01-01,Belarus,34.69
2017-01-01,Belarus,35.04
2018-01-01,Belarus,35.41
2019-01-01,Belarus,35.47
2020-01-01,Belarus,34.86
2021-01-01,Belarus,35.52
2011-01-01,Belgium,34.89
2012-01-01,Belgium,34.65
2013-01-01,Belgium,34.63
2014-01-01,Belgium,34.94
2015-01-01,Belgium,34.81
2016-01-01,Belgium,35.1
2017-01-01,Belgium,35.05
2018-01-01,Belgium,35.1
2019-01-01,Belgium,34.86
2020-01-01,Belgium,34.46
2021-01-01,Belgium,33.67
2015-01-01,Belize,45
2016-01-01,Belize,47.9
2017-01-01,Belize,43
2019-01-01,Belize,42.33
2020-01-01,Belize,40
2018-01-01,Bhutan,49.75
2019-01-01,Bhutan,50.15
2020-01-01,Bhutan,47.65
2021-01-01,Bhutan,49.17
2019-01-01,Bolivia,42.44
2021-01-01,Bolivia,40.34
2011-01-01,Bosnia and Herzegovina,41.37
2012-01-01,Bosnia and Herzegovina,41.54
2013-01-01,Bosnia and Herzegovina,41.76
2014-01-01,Bosnia and Herzegovina,41.27
2015-01-01,Bosnia and Herzegovina,41.11
2016-01-01,Bosnia and Herzegovina,42.03
2017-01-01,Bosnia and Herzegovina,41.54
2018-01-01,Bosnia and Herzegovina,41.52
2019-01-01,Bosnia and Herzegovina,42.04
2020-01-01,Bosnia and Herzegovina,40.13
2021-01-01,Bosnia and Herzegovina,41.72
2019-01-01,Botswana,45.81
2020-01-01,Botswana,45.63
2012-01-01,Brazil,39.14
2013-01-01,Brazil,39.11
2014-01-01,Brazil,38.89
2015-01-01,Brazil,38.54
2016-01-01,Brazil,38.4
2017-01-01,Brazil,37.92
2018-01-01,Brazil,37.75
2019-01-01,Brazil,37.86
2020-01-01,Brazil,35.43
2021-01-01,Brazil,38.28
2014-01-01,Brunei Darussalam,46.66
2017-01-01,Brunei Darussalam,47.32
2018-01-01,Brunei Darussalam,47.45
2019-01-01,Brunei Darussalam,47.32
2020-01-01,Brunei Darussalam,44.89
2021-01-01,Brunei Darussalam,46.86
2011-01-01,Bulgaria,40
2012-01-01,Bulgaria,39.87
2013-01-01,Bulgaria,39.73
2014-01-01,Bulgaria,39.8
2015-01-01,Bulgaria,39.98
2016-01-01,Bulgaria,40.08
2017-01-01,Bulgaria,39.85
2018-01-01,Bulgaria,39.75
2019-01-01,Bulgaria,39.53
2020-01-01,Bulgaria,39.29
2021-01-01,Bulgaria,39.39
2011-01-01,Cambodia,50.28
2012-01-01,Cambodia,49.48
2013-01-01,Cambodia,51.23
2014-01-01,Cambodia,51.26
2015-01-01,Cambodia,50.92
2016-01-01,Cambodia,50.18
2017-01-01,Cambodia,51.25
2019-01-01,Cambodia,48.92
2017-01-01,Cabo Verde,43.8
2018-01-01,Cabo Verde,42.5
2019-01-01,Cabo Verde,44.4
2011-01-01,Cayman Islands,40
2012-01-01,Cayman Islands,44
2013-01-01,Cayman Islands,42
2014-01-01,Cayman Islands,41.48
2015-01-01,Cayman Islands,42
2019-01-01,Chile,38.17
2020-01-01,Chile,36.22
2021-01-01,Chile,38.22
2011-01-01,Colombia,47
2012-01-01,Colombia,46.56
2013-01-01,Colombia,46.22
2014-01-01,Colombia,45.76
2015-01-01,Colombia,45.68
2016-01-01,Colombia,45.47
2017-01-01,Colombia,45.11
2018-01-01,Colombia,45.35
2019-01-01,Colombia,45.11
2020-01-01,Colombia,42.52
2021-01-01,Colombia,45.55
2014-01-01,Comoros,43.85
2021-01-01,Comoros,38.95
2012-01-01,"Congo, Democratic Republic of the",41.7
2020-01-01,"Congo, Democratic Republic of the",36.16
2016-01-01,Cook Islands,36.18
2019-01-01,Cook Islands,37.42
2017-01-01,Costa Rica,43.28
2018-01-01,Costa Rica,42.57
2019-01-01,Costa Rica,41.58
2020-01-01,Costa Rica,39.46
2021-01-01,Costa Rica,42.2
2011-01-01,Croatia,40.87
2012-01-01,Croatia,40.45
2013-01-01,Croatia,40.12
2014-01-01,Croatia,39.84
2015-01-01,Croatia,38.89
2016-01-01,Croatia,38.7
2017-01-01,Croatia,38.96
2018-01-01,Croatia,38.63
2019-01-01,Croatia,38.39
2020-01-01,Croatia,38.05
2021-01-01,Croatia,38.26
2018-01-01,Curaçao,38.4
2011-01-01,Cyprus,35.7
2012-01-01,Cyprus,36.25
2013-01-01,Cyprus,35.47
2014-01-01,Cyprus,35.51
2015-01-01,Cyprus,35.74
2016-01-01,Cyprus,36.13
2017-01-01,Cyprus,36
2018-01-01,Cyprus,35.9
2019-01-01,Cyprus,35.49
2020-01-01,Cyprus,32.75
2021-01-01,Cyprus,34.58
2011-01-01,Czechia,35.85
2012-01-01,Czechia,35.51
2013-01-01,Czechia,35.09
2014-01-01,Czechia,35.12
2015-01-01,Czechia,34.82
2016-01-01,Czechia,35.24
2017-01-01,Czechia,34.71
2018-01-01,Czechia,34.61
2019-01-01,Czechia,34.59
2020-01-01,Czechia,32.87
2021-01-01,Czechia,34.18
2016-01-01,Côte d'Ivoire,44.09
2017-01-01,Côte d'Ivoire,47.21
2019-01-01,Côte d'Ivoire,40.06
2011-01-01,Denmark,34.78
2012-01-01,Denmark,34.55
2013-01-01,Denmark,34.57
2014-01-01,Denmark,34.31
2015-01-01,Denmark,34.24
2016-01-01,Denmark,34.01
2017-01-01,Denmark,34.02
2018-01-01,Denmark,33.73
2019-01-01,Denmark,33.44
2020-01-01,Denmark,33.63
2021-01-01,Denmark,33.81
2014-01-01,Dominican Republic,43.9
2015-01-01,Dominican Republic,41.66
2016-01-01,Dominican Republic,41.28
2017-01-01,Dominican Republic,40.51
2018-01-01,Dominican Republic,40.35
2019-01-01,Dominican Republic,39.81
2020-01-01,Dominican Republic,33.6
2021-01-01,Dominican Republic,39.29
2013-01-01,Ecuador,42
2014-01-01,Ecuador,41.53
2015-01-01,Ecuador,41.55
2016-01-01,Ecuador,41.19
2017-01-01,Ecuador,40.83
2018-01-01,Ecuador,40.7
2019-01-01,Ecuador,39.79
2020-01-01,Ecuador,37.79
2011-01-01,Egypt,45.73
2012-01-01,Egypt,45.64
2013-01-01,Egypt,46.01
2015-01-01,Egypt,46.45
2016-01-01,Egypt,43.54
2017-01-01,Egypt,44.84
2018-01-01,Egypt,45.7
2019-01-01,Egypt,46.34
2020-01-01,Egypt,41.62
2021-01-01,Egypt,43.27
2013-01-01,El Salvador,44.42
2014-01-01,El Salvador,44.61
2015-01-01,El Salvador,44.26
2016-01-01,El Salvador,44
2017-01-01,El Salvador,44.45
2018-01-01,El Salvador,44.25
2019-01-01,El Salvador,44.83
2020-01-01,El Salvador,44.77
2021-01-01,El Salvador,45.2
2011-01-01,Estonia,36.3
2012-01-01,Estonia,35.67
2013-01-01,Estonia,35.36
2014-01-01,Estonia,35.32
2015-01-01,Estonia,35.08
2016-01-01,Estonia,35.08
2017-01-01,Estonia,35.2
2018-01-01,Estonia,34.13
2019-01-01,Estonia,33.92
2020-01-01,Estonia,32.96
2021-01-01,Estonia,37.06
2016-01-01,Eswatini,47.94
2013-01-01,Ethiopia,43.64
2021-01-01,Ethiopia,41.75
2011-01-01,Finland,35.83
2012-01-01,Finland,35.56
2013-01-01,Finland,35.43
2014-01-01,Finland,35.26
2015-01-01,Finland,35.31
2016-01-01,Finland,35.64
2017-01-01,Finland,35.56
2018-01-01,Finland,35.35
2019-01-01,Finland,35.27
2020-01-01,Finland,35.38
2021-01-01,Finland,34.51
2011-01-01,France,35.09
2012-01-01,France,34.95
2013-01-01,France,34.51
2014-01-01,France,34.37
2015-01-01,France,34.48
2016-01-01,France,29.93
2017-01-01,France,29.92
2018-01-01,France,29.77
2019-01-01,France,29.88
2020-01-01,France,27.9
2021-01-01,France,29.14
2012-01-01,Gambia,49.69
2018-01-01,Gambia,50
2017-01-01,Georgia,43.29
2018-01-01,Georgia,44.39
2019-01-01,Georgia,44.56
2020-01-01,Georgia,43.02
2011-01-01,Germany,34.89
2012-01-01,Germany,34.82
2013-01-01,Germany,34.63
2014-01-01,Germany,34.71
2015-01-01,Germany,34.65
2016-01-01,Germany,34.78
2017-01-01,Germany,34.54
2018-01-01,Germany,34.5
2019-01-01,Germany,34.43
2020-01-01,Germany,33.89
2021-01-01,Germany,33.86
2013-01-01,Ghana,48.72
2015-01-01,Ghana,38.45
2017-01-01,Ghana,41.29
2011-01-01,Greece,37.18
2012-01-01,Greece,37.1
2013-01-01,Greece,36.94
2014-01-01,Greece,36.56
2015-01-01,Greece,36.7
2016-01-01,Greece,36.8
2017-01-01,Greece,36.67
2018-01-01,Greece,36.61
2019-01-01,Greece,36.46
2020-01-01,Greece,33.01
2021-01-01,Greece,35.35
2011-01-01,Guatemala,31.88
2012-01-01,Guatemala,32.16
2013-01-01,Guatemala,40.75
2014-01-01,Guatemala,46.22
2015-01-01,Guatemala,47
2016-01-01,Guatemala,46.16
2018-01-01,Guyana,41.82
2019-01-01,Guyana,42.88
2015-01-01,Honduras,43.34
2016-01-01,Honduras,44.96
2017-01-01,Honduras,44.37
2018-01-01,Honduras,44
2019-01-01,Honduras,43.9
2020-01-01,Honduras,43.19
2011-01-01,"Hong Kong, China",45
2012-01-01,"Hong Kong, China",45
2013-01-01,"Hong Kong, China",45
2014-01-01,"Hong Kong, China",44
2015-01-01,"Hong Kong, China",44
2016-01-01,"Hong Kong, China",44
2011-01-01,Hungary,37.52
2012-01-01,Hungary,36.74
2013-01-01,Hungary,36.74
2014-01-01,Hungary,36.86
2015-01-01,Hungary,36.74
2016-01-01,Hungary,37.48
2017-01-01,Hungary,36.81
2018-01-01,Hungary,36.3
2019-01-01,Hungary,36.5
2020-01-01,Hungary,35.54
2021-01-01,Hungary,34.53
2011-01-01,Iceland,39.19
2012-01-01,Iceland,39.28
2013-01-01,Iceland,39
2014-01-01,Iceland,39.09
2015-01-01,Iceland,39.45
2016-01-01,Iceland,39.44
2017-01-01,Iceland,39.3
2018-01-01,Iceland,38.9
2019-01-01,Iceland,38.8
2020-01-01,Iceland,37.21
2021-01-01,Iceland,35.79
2017-01-01,Indonesia,42.52
2019-01-01,Indonesia,41.77
2020-01-01,Indonesia,40.42
2021-01-01,Indonesia,39.23
2011-01-01,"Iran, Islamic Republic of",45.93
2012-01-01,"Iran, Islamic Republic of",46.04
2013-01-01,"Iran, Islamic Republic of",45.24
2014-01-01,"Iran, Islamic Republic of",44.35
2015-01-01,"Iran, Islamic Republic of",45.39
2016-01-01,"Iran, Islamic Republic of",43.87
2017-01-01,"Iran, Islamic Republic of",45.52
2018-01-01,"Iran, Islamic Republic of",43.89
2019-01-01,"Iran, Islamic Republic of",45.41
2020-01-01,"Iran, Islamic Republic of",42.87
2012-01-01,Iraq,39.87
2014-01-01,Iraq,45.56
2021-01-01,Iraq,29.71
2011-01-01,Ireland,33.58
2012-01-01,Ireland,33.75
2013-01-01,Ireland,33.89
2014-01-01,Ireland,34.05
2015-01-01,Ireland,33.96
2016-01-01,Ireland,34.31
2017-01-01,Ireland,34.79
2018-01-01,Ireland,35.34
2019-01-01,Ireland,35.29
2020-01-01,Ireland,35.53
2021-01-01,Ireland,35.1
2012-01-01,Israel,35.94
2013-01-01,Israel,35.75
2014-01-01,Israel,35.6
2015-01-01,Israel,35.66
2016-01-01,Israel,36.24
2017-01-01,Israel,36.19
2018-01-01,Israel,36.11
2019-01-01,Israel,35.7
2020-01-01,Israel,33.6
2021-01-01,Israel,35.56
2011-01-01,Italy,35.71
2012-01-01,Italy,35.13
2013-01-01,Italy,34.93
2014-01-01,Italy,34.78
2015-01-01,Italy,34.86
2016-01-01,Italy,35.03
2017-01-01,Italy,35.1
2018-01-01,Italy,35.31
2019-01-01,Italy,35.24
2020-01-01,Italy,34.68
2021-01-01,Italy,34.85
2011-01-01,Jamaica,41.71
2012-01-01,Jamaica,42.17
2013-01-01,Jamaica,41.85
2014-01-01,Jamaica,41.53
2018-01-01,Japan,38.3
2019-01-01,Japan,38
2020-01-01,Japan,36.9
2017-01-01,Jordan,47.17
2018-01-01,Jordan,46.71
2019-01-01,Jordan,47.73
2020-01-01,Jordan,47.89
2021-01-01,Jordan,47.01
2011-01-01,Kazakhstan,40
2012-01-01,Kazakhstan,40
2013-01-01,Kazakhstan,39
2015-01-01,Kazakhstan,38
2017-01-01,Kazakhstan,38
2019-01-01,Kenya,47.24
2020-01-01,Kiribati,36.64
2011-01-01,"Korea, Republic of",43.41
2012-01-01,"Korea, Republic of",44.2
